"0"	"1-4"	"5-9"	"10-14"	"15-19"	"20-24"	"25-29"	"30-34"	"35-39"	"40-44"	"45-49"	"50-54"	"55-59"	"60-64"	"65-69"	"70-74"	"75-79"	"80-84"	"85-89"	"90-94"	"95-99"	"100-104"	"105+"
"50-54"	0.524327500000002	0.528039890324773	0.529067304953168	0.529606756950671	0.530206294733462	0.531947972557706	0.534091619865687	0.536580380874246	0.540086200676634	0.545060168666349	0.552483014592329	0.563184752839448	0	0	0	0	0	0	0	0	0	0	0
"55-59"	0.561752849999997	0.565727155682197	0.566827408356428	0.567404701001607	0.568046364440839	0.569904806775895	0.572191866517162	0.574847075879299	0.578586378011189	0.583891017268545	0.5918081807496	0.603224265443819	0.620096579110887	0	0	0	0	0	0	0	0	0	0
"60-64"	0.639211450000003	0.643727837860012	0.644978842258	0.645634453143671	0.646363303432569	0.64846341246339	0.651047291971311	0.654046998401253	0.658269537550291	0.664258565304407	0.673198814955023	0.686093378050762	0.70515813295733	0.735086417382651	0	0	0	0	0	0	0	0	0
"65-69"	0.581857899999999	0.585961762009237	0.587099339003952	0.587694545807357	0.588356411580452	0.590250133009767	0.592579359857835	0.595283305647973	0.599087144084694	0.604480895050196	0.612534563832779	0.62415443548563	0.641343639630943	0.668352382641071	0.711800861331911	0	0	0	0	0	0	0	0
"70-74"	0.483976099999999	0.487382263391252	0.48832728630008	0.488820777010706	0.489369704080324	0.490926794605223	0.492841240469237	0.495063548141923	0.498187420029361	0.502615557670405	0.509229488432447	0.518776194438398	0.532907820284355	0.555137436981589	0.590901790584567	0.651200954143139	0	0	0	0	0	0	0
"75-79"	0.3975621	0.400352681558485	0.4011277706132	0.401531543397412	0.401980845229484	0.403241667007232	0.404791099739468	0.406589565253922	0.409115182003206	0.412693812910401	0.418041022471371	0.425763503365554	0.437204252150736	0.455226698491607	0.484226354473187	0.533197236615881	0.621405481488385	0	0	0	0	0	0
"80-84"	0.3207068	0.322949057882458	0.323572875228259	0.323896673501661	0.324257188381353	0.325252458103817	0.326474642441249	0.32789310321535	0.329882081654991	0.332698545720811	0.336909490431118	0.342996058391066	0.352024700326385	0.366278544315639	0.389219105525574	0.428051515547274	0.498125712472095	0.641601673951221	0	0	0	0	0
"85-89"	0.1565142	0.157601901285548	0.157905275965929	0.158061872579529	0.158236379836285	0.158705882950548	0.159281738483746	0.159949952299667	0.160884653482772	0.162206863433052	0.164185680184163	0.167049769845336	0.171307010706669	0.178051746247813	0.188910646442082	0.207362709174977	0.240756607149767	0.309164307945045	0.481676179024312	0	0	0	0
"90-94"	0.0396744000000001	0.0399485778736828	0.0400252300995083	0.040064591663757	0.0401084914522507	0.0402237101452732	0.0403648610429928	0.0405286209997756	0.0407571380719818	0.04108006335462	0.0415638288180392	0.0422649605812758	0.0433092558950231	0.0449694635838276	0.0476432655807803	0.0522038136497589	0.0604805532167962	0.0774437117344494	0.120112714869171	0.25196977364436	0	0	0
"95-99"	0.00601505000000001	0.00605641245444758	0.00606800041308421	0.00607392347118253	0.00608053431728525	0.00609749598245629	0.00611825212793608	0.00614232886716109	0.0061758503559031	0.00622317496170556	0.00629413663724548	0.00639711332499176	0.00655078413417821	0.00679587921105909	0.00719073387650627	0.00786656114368506	0.00909627042992346	0.0116176742782994	0.0179451134517303	0.0374762553851305	0.11825640750301	0	0
"100-104"	0.000120749999999998	0.000121577797325469	0.000121810010359381	0.000121928363676587	0.000122060520962266	0.000122394767094758	0.000122803493906547	0.000123277557761255	0.000123936616951573	0.000124866472794966	0.000126261603293818	0.000128287823048517	0.00013131525759486	0.000136153881094682	0.000143950597180154	0.000157325072283614	0.000181700903346952	0.000231695338432153	0.000356968570883722	0.000743375210983083	0.0023395341745246	0.0134171053197743	0
"105+"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Total Gender Gap at age group"	5.82003079999999	5.77003101108863	5.77003107031011	5.76003110048585	5.75003113418254	5.62003121929253	5.45003132336073	5.28003144406352	5.0600316118453	4.76003184855185	4.41003220372018	3.98003271958933	3.5100334904541	3.01003472273635	2.42003670841179	1.880040115347	1.43004632566031	1.04005906324745	0.620090975916097	0.290189404240473	0.120595941677535	0.0134171053197743	0
